央视频道,#genre#
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225601/index.m3u8
CCTV2,http://39.134.66.66/PLTV/88888888/224/3221225691/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225490/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225606/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225590/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225488/index.m3u8
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225485/index.m3u8
CCTV9,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV17,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8


